id,y,x
NA,48,1
NA,47,1
NA,46,1
NA,45,1
NA,44,1
NA,43,1
NA,42,1
NA,41,1
NA,40,1
NA,39,1
NA,38,1
NA,37,1
NA,36,1
NA,35,1
NA,34,1
NA,33,1
NA,32,1
NA,31,1
NA,30,1
NA,29,1
NA,28,1
NA,27,1
NA,26,1
NA,25,1
NA,24,1
NA,23,1
NA,22,1
NA,21,1
NA,20,1
NA,19,1
NA,18,1
NA,17,1
NA,16,1
NA,15,1
NA,14,1
NA,13,1
NA,12,1
D,11,1
D,10,1
NA,9,1
NA,8,1
NA,7,1
NA,6,1
NA,5,1
NA,4,1
NA,3,1
NA,2,1
NA,1,1
NA,48,2
NA,47,2
NA,46,2
NA,45,2
NA,44,2
NA,43,2
NA,42,2
NA,41,2
NA,40,2
NA,39,2
NA,38,2
NA,37,2
NA,36,2
NA,35,2
NA,34,2
NA,33,2
NA,32,2
NA,31,2
NA,30,2
NA,29,2
NA,28,2
NA,27,2
NA,26,2
NA,25,2
NA,24,2
NA,23,2
NA,22,2
NA,21,2
NA,20,2
M1,19,2
NA,18,2
M1,17,2
NA,16,2
NA,15,2
NA,14,2
NA,13,2
NA,12,2
D,11,2
D,10,2
D,9,2
NA,8,2
NA,7,2
NA,6,2
NA,5,2
NA,4,2
NA,3,2
NA,2,2
NA,1,2
NA,48,3
NA,47,3
NA,46,3
NA,45,3
NA,44,3
NA,43,3
NA,42,3
NA,41,3
NA,40,3
NA,39,3
NA,38,3
NA,37,3
NA,36,3
NA,35,3
NA,34,3
NA,33,3
NA,32,3
NA,31,3
NA,30,3
NA,29,3
NA,28,3
NA,27,3
NA,26,3
NA,25,3
NA,24,3
NA,23,3
NA,22,3
NA,21,3
M1,20,3
M1,19,3
O,18,3
O,17,3
I1,16,3
NA,15,3
NA,14,3
C,13,3
C,12,3
C,11,3
D,10,3
D,9,3
D,8,3
NA,7,3
NA,6,3
NA,5,3
NA,4,3
NA,3,3
NA,2,3
NA,1,3
NA,48,4
NA,47,4
NA,46,4
NA,45,4
NA,44,4
NA,43,4
NA,42,4
NA,41,4
NA,40,4
NA,39,4
NA,38,4
NA,37,4
NA,36,4
NA,35,4
NA,34,4
NA,33,4
NA,32,4
NA,31,4
NA,30,4
NA,29,4
NA,28,4
NA,27,4
NA,26,4
NA,25,4
NA,24,4
NA,23,4
NA,22,4
NA,21,4
C,20,4
C,19,4
C,18,4
C,17,4
I1,16,4
C,15,4
C,14,4
C,13,4
C,12,4
C,11,4
D,10,4
D,9,4
D,8,4
NA,7,4
NA,6,4
NA,5,4
NA,4,4
NA,3,4
NA,2,4
NA,1,4
NA,48,5
NA,47,5
NA,46,5
NA,45,5
NA,44,5
NA,43,5
NA,42,5
NA,41,5
NA,40,5
NA,39,5
NA,38,5
NA,37,5
NA,36,5
NA,35,5
NA,34,5
NA,33,5
NA,32,5
NA,31,5
NA,30,5
NA,29,5
NA,28,5
NA,27,5
NA,26,5
NA,25,5
NA,24,5
NA,23,5
NA,22,5
NA,21,5
C,20,5
I1,19,5
C,18,5
C,17,5
C,16,5
C,15,5
D,14,5
C,13,5
D,12,5
C,11,5
D,10,5
C,9,5
NA,8,5
NA,7,5
NA,6,5
NA,5,5
NA,4,5
NA,3,5
NA,2,5
NA,1,5
NA,48,6
NA,47,6
NA,46,6
NA,45,6
NA,44,6
NA,43,6
NA,42,6
NA,41,6
NA,40,6
NA,39,6
NA,38,6
NA,37,6
NA,36,6
NA,35,6
NA,34,6
NA,33,6
NA,32,6
NA,31,6
NA,30,6
NA,29,6
NA,28,6
NA,27,6
NA,26,6
NA,25,6
NA,24,6
NA,23,6
M1,22,6
NA,21,6
C,20,6
C,19,6
C,18,6
C,17,6
C,16,6
D,15,6
S,14,6
D,13,6
C,12,6
D,11,6
D,10,6
C,9,6
NA,8,6
NA,7,6
NA,6,6
NA,5,6
NA,4,6
NA,3,6
NA,2,6
NA,1,6
NA,48,7
NA,47,7
NA,46,7
NA,45,7
NA,44,7
NA,43,7
NA,42,7
NA,41,7
NA,40,7
NA,39,7
NA,38,7
NA,37,7
NA,36,7
NA,35,7
NA,34,7
NA,33,7
NA,32,7
NA,31,7
NA,30,7
NA,29,7
NA,28,7
NA,27,7
NA,26,7
NA,25,7
NA,24,7
I1,23,7
I1,22,7
C,21,7
C,20,7
C,19,7
C,18,7
C,17,7
C,16,7
C,15,7
C,14,7
S,13,7
D,12,7
D,11,7
D,10,7
NA,9,7
NA,8,7
NA,7,7
NA,6,7
NA,5,7
NA,4,7
NA,3,7
NA,2,7
NA,1,7
NA,48,8
NA,47,8
NA,46,8
NA,45,8
NA,44,8
NA,43,8
NA,42,8
NA,41,8
NA,40,8
NA,39,8
NA,38,8
NA,37,8
NA,36,8
NA,35,8
NA,34,8
NA,33,8
NA,32,8
NA,31,8
NA,30,8
NA,29,8
NA,28,8
NA,27,8
NA,26,8
NA,25,8
NA,24,8
I1,23,8
M1,22,8
M1,21,8
C,20,8
C,19,8
O,18,8
C,17,8
C,16,8
C,15,8
D,14,8
C,13,8
C,12,8
D,11,8
D,10,8
NA,9,8
NA,8,8
NA,7,8
NA,6,8
NA,5,8
NA,4,8
NA,3,8
NA,2,8
NA,1,8
NA,48,9
NA,47,9
NA,46,9
NA,45,9
NA,44,9
NA,43,9
NA,42,9
NA,41,9
NA,40,9
NA,39,9
NA,38,9
NA,37,9
NA,36,9
NA,35,9
NA,34,9
NA,33,9
NA,32,9
NA,31,9
NA,30,9
NA,29,9
NA,28,9
NA,27,9
NA,26,9
NA,25,9
M1,24,9
M1,23,9
M1,22,9
D,21,9
C,20,9
O,19,9
S,18,9
C,17,9
C,16,9
C,15,9
C,14,9
C,13,9
D,12,9
I2,11,9
NA,10,9
NA,9,9
NA,8,9
NA,7,9
NA,6,9
NA,5,9
NA,4,9
NA,3,9
NA,2,9
NA,1,9
NA,48,10
NA,47,10
NA,46,10
NA,45,10
NA,44,10
NA,43,10
NA,42,10
NA,41,10
NA,40,10
NA,39,10
NA,38,10
NA,37,10
NA,36,10
NA,35,10
m2,34,10
m2,33,10
m2,32,10
NA,31,10
NA,30,10
NA,29,10
NA,28,10
NA,27,10
NA,26,10
NA,25,10
M1,24,10
C,23,10
M1,22,10
D,21,10
C,20,10
O,19,10
S,18,10
C,17,10
C,16,10
C,15,10
S,14,10
I1,13,10
I1,12,10
O,11,10
NA,10,10
NA,9,10
NA,8,10
NA,7,10
NA,6,10
NA,5,10
NA,4,10
NA,3,10
NA,2,10
NA,1,10
NA,48,11
NA,47,11
NA,46,11
NA,45,11
NA,44,11
NA,43,11
NA,42,11
NA,41,11
NA,40,11
NA,39,11
NA,38,11
NA,37,11
M2,36,11
I1,35,11
NA,34,11
NA,33,11
NA,32,11
NA,31,11
m2,30,11
NA,29,11
NA,28,11
NA,27,11
NA,26,11
NA,25,11
NA,24,11
I2,23,11
I2,22,11
NA,21,11
O,20,11
S,19,11
S,18,11
C,17,11
C,16,11
S,15,11
I1,14,11
O,13,11
I2,12,11
M2,11,11
NA,10,11
NA,9,11
NA,8,11
NA,7,11
NA,6,11
NA,5,11
NA,4,11
NA,3,11
NA,2,11
i1,1,11
NA,48,12
NA,47,12
NA,46,12
NA,45,12
NA,44,12
NA,43,12
NA,42,12
NA,41,12
NA,40,12
NA,39,12
NA,38,12
M2,37,12
M2,36,12
NA,35,12
I1,34,12
I2,33,12
NA,32,12
NA,31,12
NA,30,12
I2,29,12
NA,28,12
NA,27,12
m1,26,12
NA,25,12
NA,24,12
M1,23,12
I2,22,12
I2,21,12
S,20,12
I1,19,12
NA,18,12
S,17,12
C,16,12
I1,15,12
A,14,12
NA,13,12
NA,12,12
NA,11,12
NA,10,12
